Word,Sentiment Score
abandon,-1.0
abandoned,-1.0
abandoning,-1.0
abandonment,-1.0
abandonments,-1.0
abandons,-1.0
abdicated,-1.0
abdicates,-1.0
abdicating,-1.0
abdication,-1.0
abdications,-1.0
aberrant,-1.0
aberration,-1.0
aberrational,-1.0
aberrations,-1.0
abetting,-1.0
able,1.0
abnormal,-1.0
abnormalities,-1.0
abnormality,-1.0
abnormally,-1.0
abolish,-1.0
abolished,-1.0
abolishes,-1.0
abolishing,-1.0
abrogate,-1.0
abrogated,-1.0
abrogates,-1.0
abrogating,-1.0
abrogation,-1.0
abrogations,-1.0
abrupt,-1.0
abruptly,-1.0
abruptness,-1.0
absence,-1.0
absences,-1.0
absenteeism,-1.0
abundance,1.0
abundant,1.0
abuse,-1.0
abused,-1.0
abuses,-1.0
abusing,-1.0
abusive,-1.0
abusively,-1.0
abusiveness,-1.0
accident,-1.0
accidental,-1.0
accidentally,-1.0
accidents,-1.0
acclaimed,1.0
accomplish,1.0
accomplished,1.0
accomplishes,1.0
accomplishing,1.0
accomplishment,1.0
accomplishments,1.0
accusation,-1.0
accusations,-1.0
accuse,-1.0
accused,-1.0
accuses,-1.0
accusing,-1.0
achieve,1.0
achieved,1.0
achievement,1.0
achievements,1.0
achieves,1.0
achieving,1.0
acquiesce,-1.0
acquiesced,-1.0
acquiesces,-1.0
acquiescing,-1.0
acquit,-1.0
acquits,-1.0
acquittal,-1.0
acquittals,-1.0
acquitted,-1.0
acquitting,-1.0
adequately,1.0
adulterate,-1.0
adulterated,-1.0
adulterating,-1.0
adulteration,-1.0
adulterations,-1.0
advancement,1.0
advancements,1.0
advances,1.0
advancing,1.0
advantage,1.0
advantaged,1.0
advantageous,1.0
advantageously,1.0
advantages,1.0
adversarial,-1.0
adversaries,-1.0
adversary,-1.0
adverse,-1.0
adversely,-1.0
adversities,-1.0
adversity,-1.0
aftermath,-1.0
aftermaths,-1.0
against,-1.0
aggravate,-1.0
aggravated,-1.0
aggravates,-1.0
aggravating,-1.0
aggravation,-1.0
aggravations,-1.0
alerted,-1.0
alerting,-1.0
alienate,-1.0
alienated,-1.0
alienates,-1.0
alienating,-1.0
alienation,-1.0
alienations,-1.0
allegation,-1.0
allegations,-1.0
allege,-1.0
alleged,-1.0
allegedly,-1.0
alleges,-1.0
alleging,-1.0
alliance,1.0
alliances,1.0
annoy,-1.0
annoyance,-1.0
annoyances,-1.0
annoyed,-1.0
annoying,-1.0
annoys,-1.0
annul,-1.0
annulled,-1.0
annulling,-1.0
annulment,-1.0
annulments,-1.0
annuls,-1.0
anomalies,-1.0
anomalous,-1.0
anomalously,-1.0
anomaly,-1.0
anticompetitive,-1.0
antitrust,-1.0
argue,-1.0
argued,-1.0
arguing,-1.0
argument,-1.0
argumentative,-1.0
arguments,-1.0
arrearage,-1.0
arrearages,-1.0
arrears,-1.0
arrest,-1.0
arrested,-1.0
arrests,-1.0
artificially,-1.0
assault,-1.0
assaulted,-1.0
assaulting,-1.0
assaults,-1.0
assertions,-1.0
assure,1.0
assured,1.0
assures,1.0
assuring,1.0
attain,1.0
attained,1.0
attaining,1.0
attainment,1.0
attainments,1.0
attains,1.0
attractive,1.0
attractiveness,1.0
attrition,-1.0
aversely,-1.0
backdating,-1.0
bad,-1.0
bail,-1.0
bailout,-1.0
balk,-1.0
balked,-1.0
bankrupt,-1.0
bankruptcies,-1.0
bankruptcy,-1.0
bankrupted,-1.0
bankrupting,-1.0
bankrupts,-1.0
bans,-1.0
barred,-1.0
barrier,-1.0
barriers,-1.0
beautiful,1.0
beautifully,1.0
beneficial,1.0
beneficially,1.0
benefit,1.0
benefited,1.0
benefiting,1.0
benefitted,1.0
benefitting,1.0
best,1.0
better,1.0
bolstered,1.0
bolstering,1.0
bolsters,1.0
boom,1.0
booming,1.0
boost,1.0
boosted,1.0
bottleneck,-1.0
bottlenecks,-1.0
boycott,-1.0
boycotted,-1.0
boycotting,-1.0
boycotts,-1.0
breach,-1.0
breached,-1.0
breaches,-1.0
breaching,-1.0
break,-1.0
breakage,-1.0
breakages,-1.0
breakdown,-1.0
breakdowns,-1.0
breaking,-1.0
breaks,-1.0
breakthrough,1.0
breakthroughs,1.0
bribe,-1.0
bribed,-1.0
briberies,-1.0
bribery,-1.0
bribes,-1.0
bribing,-1.0
bridge,-1.0
brilliant,1.0
broken,-1.0
burden,-1.0
burdened,-1.0
burdening,-1.0
burdens,-1.0
burdensome,-1.0
burned,-1.0
calamities,-1.0
calamitous,-1.0
calamity,-1.0
cancel,-1.0
canceled,-1.0
canceling,-1.0
cancellation,-1.0
cancellations,-1.0
cancelled,-1.0
cancelling,-1.0
cancels,-1.0
careless,-1.0
carelessly,-1.0
carelessness,-1.0
catastrophe,-1.0
catastrophes,-1.0
catastrophic,-1.0
catastrophically,-1.0
caution,-1.0
cautionary,-1.0
cautioned,-1.0
cautioning,-1.0
cautions,-1.0
cease,-1.0
ceased,-1.0
ceases,-1.0
ceasing,-1.0
censure,-1.0
censured,-1.0
censures,-1.0
censuring,-1.0
challenge,-1.0
challenged,-1.0
challenges,-1.0
challenging,-1.0
chargeoffs,-1.0
charitable,1.0
circumvent,-1.0
circumvented,-1.0
circumventing,-1.0
circumvention,-1.0
circumventions,-1.0
circumvents,-1.0
claiming,-1.0
claims,-1.0
clawback,-1.0
closed,-1.0
closeout,-1.0
closeouts,-1.0
closing,-1.0
closings,-1.0
closure,-1.0
closures,-1.0
coerce,-1.0
coerced,-1.0
coerces,-1.0
coercing,-1.0
coercion,-1.0
coercive,-1.0
collaborate,1.0
collaborated,1.0
collaborates,1.0
collaborating,1.0
collaboration,1.0
collaborations,1.0
collaborative,1.0
collaborator,1.0
collaborators,1.0
collapse,-1.0
collapsed,-1.0
collapses,-1.0
collapsing,-1.0
collision,-1.0
collisions,-1.0
collude,-1.0
colluded,-1.0
colludes,-1.0
colluding,-1.0
collusion,-1.0
collusions,-1.0
collusive,-1.0
complain,-1.0
complained,-1.0
complaining,-1.0
complains,-1.0
complaint,-1.0
complaints,-1.0
complicate,-1.0
complicated,-1.0
complicates,-1.0
complicating,-1.0
complication,-1.0
complications,-1.0
compliment,1.0
complimentary,1.0
complimented,1.0
complimenting,1.0
compliments,1.0
compulsion,-1.0
concealed,-1.0
concealing,-1.0
concede,-1.0
conceded,-1.0
concedes,-1.0
conceding,-1.0
concern,-1.0
concerned,-1.0
concerns,-1.0
conciliating,-1.0
conciliation,-1.0
conciliations,-1.0
conclusive,1.0
conclusively,1.0
condemn,-1.0
condemnation,-1.0
condemnations,-1.0
condemned,-1.0
condemning,-1.0
condemns,-1.0
condone,-1.0
condoned,-1.0
conducive,1.0
confess,-1.0
confessed,-1.0
confesses,-1.0
confessing,-1.0
confession,-1.0
confident,1.0
confine,-1.0
confined,-1.0
confinement,-1.0
confinements,-1.0
confines,-1.0
confining,-1.0
confiscate,-1.0
confiscated,-1.0
confiscates,-1.0
confiscating,-1.0
confiscation,-1.0
confiscations,-1.0
conflict,-1.0
conflicted,-1.0
conflicting,-1.0
conflicts,-1.0
confront,-1.0
confrontation,-1.0
confrontational,-1.0
confrontations,-1.0
confronted,-1.0
confronting,-1.0
confronts,-1.0
confuse,-1.0
confused,-1.0
confuses,-1.0
confusing,-1.0
confusingly,-1.0
confusion,-1.0
conspiracies,-1.0
conspiracy,-1.0
conspirator,-1.0
conspiratorial,-1.0
conspirators,-1.0
conspire,-1.0
conspired,-1.0
conspires,-1.0
conspiring,-1.0
constructive,1.0
constructively,1.0
contempt,-1.0
contend,-1.0
contended,-1.0
contending,-1.0
contends,-1.0
contention,-1.0
contentions,-1.0
contentious,-1.0
contentiously,-1.0
contested,-1.0
contesting,-1.0
contraction,-1.0
contractions,-1.0
contradict,-1.0
contradicted,-1.0
contradicting,-1.0
contradiction,-1.0
contradictions,-1.0
contradictory,-1.0
contradicts,-1.0
contrary,-1.0
controversial,-1.0
controversies,-1.0
controversy,-1.0
convict,-1.0
convicted,-1.0
convicting,-1.0
conviction,-1.0
convictions,-1.0
corrected,-1.0
